T,M,Time
1,1,0.443607
1,10,16.500026
1,20,31.003865
1,30,45.299484
1,40,51.613096
1,50,62.158827
1,100,62.152319
10,1,0.447714
10,10,2.128996
10,20,3.616987
10,30,5.080389
10,40,5.728574
10,50,6.767978
10,100,6.765517
20,1,0.451992
20,10,1.5215
20,20,2.167065
20,30,2.806836
20,40,3.191406
20,50,3.825498
20,100,3.81963
